TransactionID,Date,ProductID,ProductName,Quantity,UnitPrice,CustomerID,Region
T018,2024-12-29,P107,USB Cable,8,173.0,C009,South
T063,2024-12-07,P110,Laptop Charger,6,1916.0,C022,East
T023,2024-12-09,P109,Wireless Mouse,9,523.0,C022,North
T059,2024-12-29,P102,Mouse Wireless,4,1056.0,C010,South
T035,2024-12-08,P102,Mouse,4,431.0,C011,North
T061,2024-12-10,P109,Wireless Mouse,2,775.0,C009,North
T057,2024-12-15,P101,Laptop Premium,10,81896.0,C004,North
T034,2024-12-22,P107,USB Cable,6,324.0,C029,West
T050,2024-12-02,P104,Monitor LED,10,9997.0,C024,East
T024,2024-12-25,P109,Wireless Mouse,5,1812.0,C011,North
T004,2024-12-07,P109,Wireless Mouse,9,1359.0,C008,West
T068,2024-12-02,P109,Wireless Mouse,6,1692.0,C018,South
T066,2024-12-06,P105,Webcam,8,4259.0,C023,West
T064,2024-12-16,P109,Wireless Mouse,5,604.0,C003,West
T045,2024-12-26,P108,External Hard Drive,9,3802.0,C002,North
T015,2024-12-30,P105,Webcam,9,2899.0,C022,East
T055,2024-12-07,P105,Webcam HD,6,2977.0,C009,West
T002,2024-12-22,P102,Mouse,9,478.0,C019,West
T051,2024-12-02,P101,Laptop Premium,10,76246.0,C017,South
T005,2024-12-09,P110,Laptop Charger,1,3054.0,C026,South
T007,2024-12-03,P102,Mouse,7,498.0,C012,East
T010,2024-12-07,P110,Laptop Charger,2,1593.0,C022,South
T032,2024-12-22,P103,Keyboard,8,1476.0,C009,West
T008,2024-12-09,P110,Laptop Charger,1,2994.0,C015,North
T060,2024-12-27,P108,External Hard Drive 1TB,9,8763.0,C010,North
T062,2024-12-24,P102,Mouse,9,618.0,C009,East
T003,2024-12-01,P101,Laptop,2,59328.0,C008,North
T022,2024-12-20,P107,USB Cable,2,297.0,C013,West
T046,2024-12-30,P102,Mouse Wireless,4,640.0,C014,West
T049,2024-12-22,P109,Wireless Mouse Gaming,8,817.0,C007,East
T006,2024-12-11,P107,USB Cable,5,179.0,C007,East
T011,2024-12-03,P105,Webcam,4,2413.0,C013,East
T031,2024-12-24,P102,Mouse,8,441.0,C025,South
T033,2024-12-30,P104,Monitor,9,14591.0,C023,East
T058,2024-12-07,P109,Wireless Mouse Gaming,9,1043.0,C005,East
T029,2024-12-11,P110,Laptop Charger,8,1539.0,C004,East
T030,2024-12-08,P105,Webcam,1,2986.0,C029,North
T021,2024-12-25,P102,Mouse,1,524.0,C005,South
T070,2024-12-07,P106,Headphones,4,6463.0,C004,East
T028,2024-12-25,P106,Headphones,3,5418.0,C025,North
T014,2024-12-24,P109,Wireless Mouse,4,834.0,C015,West
T019,2024-12-24,P104,Monitor,9,16609.0,C024,West
T054,2024-12-03,P110,Laptop Charger 65W,7,2846.0,C019,East
T001,2024-12-01,P102,Mouse,5,801.0,C008,South
T036,2024-12-18,P110,Laptop Charger,4,2705.0,C008,North
T020,2024-12-13,P110,Laptop Charger,6,1949.0,C005,West
T037,2024-12-23,P102,Mouse,1,768.0,C003,North
T012,2024-12-21,P108,External Hard Drive,6,4332.0,C012,East
T048,2024-12-13,P101,Laptop Premium,5,74819.0,C010,West
T044,2024-12-09,P103,Keyboard,8,1823.0,C028,North
T025,2024-12-14,P105,Webcam,3,3858.0,C001,East
T027,2024-12-27,P105,Webcam,9,4494.0,C007,South
T013,2024-12-22,P104,Monitor,5,10339.0,C020,South
T017,2024-12-07,P102,Mouse,10,944.0,C007,West
T038,2024-12-03,P106,Headphones,9,2949.0,C009,West
T052,2024-12-17,P101,Laptop Premium,2,57178.0,C003,North
T042,2024-12-02,P102,Mouse,7,994.0,C026,North
T053,2024-12-13,P104,Monitor LED,2,16067.0,C019,North
T040,2024-12-07,P107,USB Cable,2,149.0,C022,West
T065,2024-12-02,P105,Webcam,1,3366.0,C025,South
T039,2024-12-18,P104,Monitor,3,23488.0,C008,West
T016,2024-12-08,P101,Laptop,1,65673.0,C013,East
T041,2024-12-14,P106,Headphones,7,4825.0,C028,North
T043,2024-12-07,P104,Monitor,4,22700.0,C005,West
T009,2024-12-03,P107,USB Cable,9,250.0,C027,East
T056,2024-12-22,P103,Keyboard Mechanical,5,2672.0,C011,North
T047,2024-12-07,P108,External Hard Drive 1TB,7,3480.0,C006,West
T026,2024-12-25,P109,Wireless Mouse,3,1539.0,C030,North
T069,2024-12-05,P107,USB Cable,1,257.0,C012,North
T067,2024-12-01,P109,Wireless Mouse,2,654.0,C029,South
